dept_name,first_name,last_name,emp_no
Sales,Nobuyoshi,Kuzuoka,12099
Finance,Satyanarayana,Avouris,12112
Production,Satoru,Krone,12122
Research,Xiahua,Syrzycki,12123
Production,Shounak,Erman,12125
Development,Shounak,Erman,12125
Sales,Suebskul,Grandbois,12149
Development,Shem,Perly,12159
Development,Xiaobin,Maquelin,12165
Quality Management,Harngdar,Iisaku,12183
Quality Management,Feiyu,Klyachko,12192
Development,Sushant,Rossi,12205
Development,Barton,Janetzko,12206
Quality Management,Yaghout,Strooper,12218
Development,Vincent,Melter,12221
Finance,Abdelwaheb,Holburn,12222
Production,Niteen,Koyama,12223
Development,Subbu,Penttonen,12247
Development,Eldridge,Sadowski,12249
Human Resources,Guadalupe,Reghbati,12256
Development,Mart,Pagter,12264
Research,Shakhar,Kornyak,12270
Human Resources,Behnaam,Grandbois,12272
Finance,Mototsugu,Cronau,12308
Human Resources,Mototsugu,Cronau,12308
Development,Susanne,Lubachevsky,12311
Development,DAIDA,Bruckman,12327
Development,Rasiah,Luga,12341
Production,Sorina,Slaats,12343
Customer Service,Sorina,Slaats,12343
Production,Kamakshi,Bisiani,12365
Sales,Mooi,Driscoll,12373
Finance,Sanjit,Felder,12395
Sales,Mihalis,Luga,12399
Sales,Shao,Ibel,12411
Production,Hugh,Gadepally,12413
Production,Dannz,Spelt,12417
Human Resources,Berhard,Demos,12422
Sales,Kerryn,Farris,12454
Sales,Shai,Milicic,12464
Development,Filipe,Roison,12475
Finance,Mona,Reghbati,12487
Human Resources,Mona,Reghbati,12487
Development,Arnould,Munck,12489
Development,Jackson,Muchinsky,12490
Sales,Stein,Penz,12497
Finance,Morrie,Matheson,12501
Production,Adly,Rosaz,12504
Development,Tomofumi,Melter,12514
Customer Service,Conor,Cincotta,12528
Production,Yongmao,Gerlach,12534
Sales,Shih,Nanard,12541
Human Resources,Kazuhide,Bouloucos,12542
Production,Jeane,Tzvieli,12551
Human Resources,Aral,Vesna,12553
Production,Stafford,Kopetz,12557
Quality Management,Stafford,Kopetz,12557
Development,Anoosh,Chleq,12589
Human Resources,Breannda,Roisin,12596
Development,Ghassan,Simkin,12601
Human Resources,Nectarios,Mondadori,12608
Production,Xinyu,Restivo,12635
Customer Service,Xinyu,Restivo,12635
Development,Yuqun,Seiwald,12638
Marketing,Suebskul,Gips,12642
Sales,Pragnesh,Bael,12651
Development,Leucio,Alvarado,12662
Development,Nobuyoshi,Stellhorn,12663
Sales,Zhonghua,Parveen,12664
Customer Service,Zhonghua,Parveen,12664
Development,Luerbio,Boudaillier,12689
Production,Oddvar,Gils,12691
Human Resources,Uri,Brizzi,12697
Development,Ronghao,Botman,12709
Research,Tzu,Jiafu,12717
Finance,Elliott,Cheshire,12722
Development,Fumitake,Panwar,12726
Production,Nahla,Rahier,12729
Customer Service,Nahla,Rahier,12729
Human Resources,Yongmao,Waymire,12731
Sales,Mara,Takanami,12732
Development,Gil,Frijda,12734
Human Resources,Rildo,Rodite,12755
Development,Jenwei,Lovengreen,12773
Sales,Gunilla,Perl,12790
Finance,Masoud,Fordan,12795
Sales,Lillian,Beeson,12798
Marketing,Gad,Boissier,12803
Sales,Gad,Boissier,12803
Research,Sushant,Junot,12815
Production,Mountaz,Gubsky,12819
Development,Kazuhide,Smeets,12848
Production,Leif,Matheson,12863
Sales,Marl,Schmittgen,12872
Development,Baruch,Eugenio,12879
Sales,Neven,Casley,12890
Sales,Licheng,Crouzet,12893
Production,Roddy,Serot,12895
Development,Munehiro,Gecsei,12905
Research,Heekeun,Luby,12926
Development,Odinaldo,Farrar,12940
Development,Tommaso,Perelgut,12941
Development,Geoff,Asrin,12949
Development,Byong,Markovitch,12977
Finance,Elliott,Hambrick,12983
Marketing,Yahiko,Kroll,13030
Finance,Vivian,Stafford,13046
Development,Atilio,Chelton,13047
Marketing,Rosella,Morrin,13075
Sales,Rosella,Morrin,13075
Development,Deniz,Skafidas,13076
Quality Management,Ibibia,Armand,13096
Development,Srinidhi,Ellozy,13103
Sales,Quingbo,Garnick,13124
Marketing,Guther,Senzako,13133
Customer Service,Guther,Senzako,13133
Production,Lorien,Chepyzhov,13134
Finance,Persi,Nollmann,13144
Sales,Haldon,Erie,13146
Sales,Shichao,Ginesta,13147
Development,Akeel,Millington,13156
Quality Management,Lucian,Benner,13165
Production,Munir,Stentiford,13168
Finance,Cheong,Bernardeschi,13170
Human Resources,Cheong,Bernardeschi,13170
Quality Management,Anoosh,Birnbaum,13171
Sales,Arve,Horswill,13173
Sales,Moty,Janocha,13179
Production,Kokou,Rodite,13182
Sales,Kyoichi,Barbanera,13186
Production,Rosita,Flowers,13192
Development,Rosita,Flowers,13192
Research,Aram,Scharstein,13202
Marketing,Jianhua,Klassen,13210
Sales,Jianhua,Klassen,13210
Sales,Hein,Billawala,13213
Development,Mitchel,Fujisaki,13232
Development,Alselm,Chvatal,13233
Sales,Ebru,Foote,13238
Development,King,Pileggi,13240
Production,Zeydy,Schusler,13250
Customer Service,Arun,Jiang,13272
Finance,Yechiam,Seuren,13276
Human Resources,Muneo,Broomell,13288
Development,Georg,Stamatiou,13291
Development,Mack,Alencar,13302
Development,Sakthirel,Stroustrup,13315
Production,Nidapan,Pearson,13332
Production,Yoshinari,Hennebert,13333
Development,Yoshinari,Hennebert,13333
Marketing,Bodh,Doering,13341
Finance,Heon,Usery,13343
Human Resources,Heon,Usery,13343
Human Resources,Kiyokazu,Klassen,13368
Production,Nakhoon,Riexinger,13371
Finance,Juichirou,Naumovich,13373
Human Resources,Juichirou,Naumovich,13373
Human Resources,Claudi,Buchter,13385
Development,Khosrow,Sgarro,13386
Research,Divine,Cmelik,13389
Sales,Fumitake,Beidas,13392
Customer Service,Chuanyi,Aumann,13396
Development,Augustine,Dulli,13402
Research,Augustine,Dulli,13402
Sales,Randy,Baba,13405
Production,Gio,Chenoweth,13407
Production,Sreekrishna,Lagarias,13408
Quality Management,Nathalie,Speer,13415
Production,Vishwani,Gerlach,13422
Quality Management,Vishwani,Gerlach,13422
Human Resources,Giordano,Miake,13442
Quality Management,Mayuko,Puppo,13443
Production,Renee,Dehkordi,13445
Human Resources,Gretta,Weiland,13451
Quality Management,Shooichi,Parfitt,13457
Production,Feipei,Nivat,13458
Customer Service,Feipei,Nivat,13458
Production,Theron,Berstel,13463
Production,Sasan,Rehfuss,13465
Development,Uinam,Jullig,13493
Development,Parto,Mandell,13504
Sales,Chaoyi,Porotnikoff,13524
Production,Arunas,Schlenzig,13535
Production,Aimee,Brookner,13546
Development,Matk,Koprowski,13549
Research,Ingmar,Capobianchi,13552
Development,Jungsoon,Engberts,13576
Research,Jungsoon,Engberts,13576
Sales,Dmitry,Encarnacion,13605
Development,Fei,Haddadi,13621
Human Resources,Zhigen,Yurek,13624
Development,Dzung,Trelles,13629
Production,Zejun,Lamba,13648
Human Resources,Kristen,Iivonen,13653
Development,Moti,Takanami,13670
Sales,Denny,Speer,13680
Development,Weicheng,Hockney,13685
Development,Shuichi,Weedon,13697
Production,Vishu,Kumaresan,13704
Sales,Sugwoo,Delgrossi,13721
Human Resources,Vitali,Merey,13727
Development,Bangqing,Mitchem,13738
Customer Service,Tremaine,Heemskerk,13766
Sales,Yakichi,Trogemann,13769
Sales,Arve,Maierhofer,13775
Sales,Takushi,Berendt,13786
Production,Xiaobin,Sinicrope,13787
Finance,Valery,Sury,13792
Development,Paloma,Thorelli,13796
Customer Service,Kiyotoshi,Basagni,13809
Production,Guadalupe,Plotkin,13815
Production,Arlette,Pell,13825
Production,Christophe,Spinelli,13841
Quality Management,Christophe,Spinelli,13841
Research,Juichirou,Cichocki,13842
Research,Guiseppe,Welham,13846
Research,Mingsen,Roohalamini,13853
Development,Anoosh,Fujisawa,13859
Production,Kensei,Swift,13884
Production,Ult,Schonegge,13894
Development,Youngkon,Cairo,13904
Development,Shiv,Bratsberg,13934
Development,Elzbieta,Esteva,13942
Sales,Mooi,Genther,13951
Finance,Nechama,Hettesheimer,13960
Production,Maris,Ghelli,13962
Customer Service,Boguslaw,Cooman,13966
Development,Jianwen,Chandrasekhar,13969
Development,Deborah,Schapiro,13990
Finance,Ulises,Kenevan,13992
Human Resources,Florian,Crouzet,13999
Development,Vojin,Stellhorn,14005
Quality Management,Vojin,Stellhorn,14005
Production,Manibrata,Picaronny,14015
Quality Management,Manibrata,Picaronny,14015
Finance,Aloys,Seghrouchni,14034
Marketing,Shan,DeMori,14041
Production,Godehard,Trachtenberg,14067
Research,Mori,Leslie,14088
Marketing,Xiahua,Rindone,14107
Customer Service,Leszek,Cummings,14111
Customer Service,Kasturi,Anido,14118
Production,Adas,Hertweck,14167
Development,Jiann,Luby,14191
Research,Masanao,Kusakabe,14209
Production,Tomofumi,Pargas,14220
Development,Masali,Bojadziev,14232
Research,Xuedong,Angiulli,14236
Production,Abdulla,Gerlach,14237
Customer Service,Abdulla,Gerlach,14237
Customer Service,Sudhanshu,Benaini,14242
Production,Kwok,Massonet,14257
Customer Service,Kwok,Massonet,14257
Production,Miyeon,Olivero,14290
Research,Susanna,Vigier,14292
Production,Chriss,Granlund,14298
Sales,Marlo,Leuchs,14310
Production,Sreenivas,Schaar,14320
Development,Shem,Kakkad,14322
Production,Golgen,Leslie,14323
Customer Service,Golgen,Leslie,14323
Production,Vitaly,Wixon,14340
Production,Otilia,Buescher,14344
Sales,Mong,Bojadziev,14354
Research,Janche,Erbe,14360
Development,Saniya,Srimani,14372
Research,Saniya,Srimani,14372
Development,Tomofumi,Holburn,14384
Production,Toshimo,Gadepally,14422
Development,Elvis,Maginnis,14434
Quality Management,Raimond,Woycyznski,14439
Production,Yagil,Lueh,14460
Sales,Munehiro,Boissier,14478
Production,Moti,Lammel,14481
Development,Supot,Marrevee,14483
Production,Indrajit,Birdsall,14486
Human Resources,Xiong,Selenyi,14498
Production,Taizo,Kroft,14501
Finance,Danil,Aloia,14509
Marketing,Samphel,Barreiro,14513
Sales,Samphel,Barreiro,14513
Quality Management,Kazuhisa,Versino,14515
Sales,Kristian,Underwood,14516
Production,Patricia,Peir,14518
Finance,Chuanyi,Ranta,14522
Quality Management,Babette,Engelmann,14537
Development,Ibibia,Snyers,14552
Production,Fatemeh,Zultner,14556
Development,Elrique,Driscoll,14560
Development,Gao,Condotta,14581
Development,Kiyokazu,Morrin,14582
Customer Service,Jayson,Cairo,14600
Development,Lech,Marquardt,14603
Sales,Suzette,Selvestrel,14607
Production,Jianhua,Erev,14620
Sales,Souichi,Wixon,14621
Quality Management,Gudjon,McClurg,14632
Sales,Arvind,Hempstead,14639
Development,Toshimori,Kornatzky,14640
Development,Florian,Kuhnemann,14642
Development,Laurentiu,Glinert,14645
Sales,IEEE,Lorys,14648
Quality Management,Sashi,Adachi,14659
Human Resources,Teunis,Angel,14675
Production,Herbert,Sifakis,14677
Production,Alois,Basart,14683
Customer Service,Alois,Basart,14683
Development,Yechezkel,Bellone,14690
Customer Service,Brewster,Stranks,14693
Marketing,Mahmut,Hainaut,14710
Human Resources,Constantino,Assaf,14723
Finance,Aron,Lemarechal,14724
Production,Marlo,Bruckman,14780
Production,Zhonghua,Kaiser,14785
Customer Service,Zhonghua,Kaiser,14785
Development,Stein,Uchoa,14793
Customer Service,Odysseas,Nishimukai,14814
Development,Gaurav,Masaki,14817
Research,Gaurav,Masaki,14817
Development,Oguz,Kilgore,14821
Development,Changho,Cronin,14839
Development,Taiji,Nergos,14853
Development,Arto,Meriste,14877
Development,Anyuan,Sigstam,14879
Sales,Temple,Barriga,14888
Finance,Alejandro,Casley,14899
Sales,Alejandro,Casley,14899
Research,Adil,Parveen,14906
Production,Kerhong,Flanders,14908
Development,Kerhong,Flanders,14908
Development,Mohan,Kamble,14909
Production,Xiaobin,Chelton,14911
Development,Gretta,Benzaken,14914
Production,Huican,Picco,14915
Development,Shuzo,Gyorkos,14923
Human Resources,Satoru,Mukaidono,14928
Development,Nathan,Lichtner,14941
Quality Management,Heon,Benveniste,14942
Production,Insup,Reinhart,14949
Development,Fox,Magliocco,14954
Finance,Fan,Simmen,14971
Marketing,Hyuckchul,Pouyioutas,14983
Development,Sanjay,Koblitz,14993
Production,Kiam,Sadowsky,15005
Finance,Woody,Gulik,15016
Marketing,Ramalingam,Prenel,15018
Production,Qingxiang,Shokrollahi,15019
Quality Management,Qingxiang,Shokrollahi,15019
Customer Service,Giordano,Koshino,15029
Sales,Rasikan,Nourani,15030
Development,Ziva,Delgrande,15036
Customer Service,Khun,Waymire,15049
Production,Flemming,Kranzdorf,15052
Research,Shrikanth,Sherertz,15055
Development,Tomokazu,Oaver,15066
Production,Manton,Siksek,15069
Sales,Ayonca,Couchot,15071
Production,Radoslaw,Rijsenbrij,15075
Production,Toshiki,Taubenfeld,15077
Development,Guadalupe,Zirintsis,15082
Production,Chirstian,Ushiama,15087
Development,Giri,Coney,15089
Customer Service,Remmert,Bahi,15092
Production,Luigi,Axelband,15102
Marketing,Sudhanshu,Itzigehl,15105
Sales,Sudhanshu,Itzigehl,15105
Development,Pantung,Honglei,15114
Sales,Arun,Luiz,15134
Production,Haldon,Servieres,15145
Marketing,Urs,Pouyioutas,15151
Sales,Urs,Pouyioutas,15151
Sales,Charlene,Sankaranarayanan,15176
Development,Neelam,Schach,15193
Development,Souichi,Duclos,15196
Production,Pranay,Irland,15202
Development,Pranay,Irland,15202
Research,Sudharsan,Shokrollahi,15208
Finance,Shuky,Conry,15218
Human Resources,Mona,Salvesen,15228
Development,Keiichiro,Suessmith,15230
Development,Jouko,Zhiwei,15234
Development,Reinhard,Sadowsky,15237
Finance,Mountaz,Famili,15243
Marketing,Edwin,Baar,15248
Production,Ayonca,Pardalos,15253
Production,Eric,Reghbati,15269
Sales,Shiv,Bernardeschi,15271
Sales,Miyeon,Lammel,15292
Production,Ziya,Lunn,15324
Development,Fan,Openshaw,15329
Sales,Jaroslava,Chinal,15330
Quality Management,Masaru,Radivojevic,15337
Quality Management,Chaosheng,Luce,15343
Customer Service,Chikara,Nyrup,15354
Development,Mikhail,Schiettecatte,15365
Sales,Premal,Penttonen,15369
Development,Chuanyi,Nilsson,15370
Research,Chuanyi,Nilsson,15370
Sales,Nahum,Broder,15372
Finance,Shuho,Manders,15375
Development,Shugo,Aumann,15377
Sales,Alassane,Siegrist,15382
Development,Pradeep,Markovitch,15392
Research,Maik,Penttonen,15408
Marketing,Wilmer,Kushner,15410
Sales,Wilmer,Kushner,15410
Development,Huai,Thiria,15412
Finance,Constantijn,Munoz,15438
Research,Arvind,Weisert,15441
Development,Kazuhira,Weedman,15452
Sales,Hongzue,Cesareni,15454
Production,Weiwu,Huhdanpaa,15470
Sales,Gilbert,Plumb,15474
Production,Zhenbing,Soicher,15479
Development,Kwok,Trogemann,15480
Development,Kasturi,Alpin,15504
Production,Collette,Mikschl,15505
Development,Inderjeet,Sethi,15510
Sales,George,Kowalchuk,15511
Development,Uno,Valtorta,15518
Development,Masadi,Cherinka,15525
Finance,Guozhong,Grabner,15534
Production,Mingdong,Staelin,15543
Development,Sanjai,Caine,15548
Research,Sanjai,Caine,15548
Customer Service,Constantino,Zykh,15563
Marketing,True,Muchinsky,15565
Sales,Baoqiu,Azuma,15566
Production,Mack,Perna,15600
Sales,Carrsten,Anily,15601
Production,Huan,Iwayama,15651
Marketing,Mohammad,Schaaf,15656
Quality Management,Hiroyasu,Przulj,15682
Finance,Dekang,Ambroszkiewicz,15687
Development,Chenye,Hanratty,15703
Sales,Reuven,Kushnir,15708
Production,Troy,Bala,15714
Marketing,Insup,Ibel,15715
Sales,Insup,Ibel,15715
Marketing,Zhilian,Parascandalo,15726
Development,Poorav,Bahr,15739
Sales,Stepehn,Pocchiola,15740
Production,Arumugam,Bresenham,15750
Development,Tonny,Taubenfeld,15765
Production,Baocai,Broomell,15767
Marketing,Pranay,Oskamp,15769
Production,Taegyun,Deyuan,15788
Sales,Manton,Gelosh,15799
Finance,Mingsen,Antonisse,15809
Marketing,Magdalena,Rajcani,15819
Sales,Magdalena,Rajcani,15819
Development,Aleksander,Antonakopoulos,15821
Production,Bowen,Litecky,15846
Marketing,Gio,Anido,15861
Production,Angel,Seiwald,15866
Quality Management,Angel,Seiwald,15866
Production,Guoxiang,Bala,15869
Development,Munehiro,Vakili,15876
Production,Yannik,Kroll,15877
Production,Miquel,Dechter,15880
Development,Sasan,Azumi,15889
Production,Lunjin,Pettis,15892
Production,Marsja,Fargier,15901
Quality Management,Marsja,Fargier,15901
Research,Kazuhide,Stille,15902
Production,DeForest,Petersohn,15905
Production,Shaibal,Viele,15911
Customer Service,Shaibal,Viele,15911
Production,Kensyu,Shinomoto,15934
Sales,Garnik,Covnot,15938
Production,Murthy,Rosca,15942
Production,Yakkov,Demke,15943
Quality Management,Yakkov,Demke,15943
Production,Hauke,Larfeldt,15945
Development,Karoline,Versino,15948
Production,Yuguang,Dratva,15955
Development,Arumugam,Aloia,15971
Research,King,Ballarin,15977
Production,Kaijung,Wielonsky,15978
Quality Management,Kaijung,Wielonsky,15978
Development,Yoshimitsu,Peir,15993
Production,Marek,Demos,16000
Production,Boutros,Papadias,16018
Development,Chaoyi,Heystek,16019
Research,Chaoyi,Heystek,16019
Development,Doowon,Luce,16025
Production,JiYoung,Takkinen,16028
Finance,Wayne,Spelt,16033
Development,Maria,Rodham,16052
Sales,Marsha,Penn,16066
Finance,Leandro,Zongker,16068
Development,Marko,Ebeling,16076
Development,Kannan,Heemskerk,16077
Development,Mohammad,Denos,16086
Development,Berto,Rosar,16094
Human Resources,Mohan,Ferretti,16099
Customer Service,Tse,Crabtree,16126
Development,Kerryn,Belinskaya,16130
Development,Annemarie,Chaudhuri,16134
Marketing,Leucio,Krzyzanowski,16138
Quality Management,Monique,Docker,16154
Development,Marin,Winter,16185
Production,Leandro,Sigstam,16192
Customer Service,Leandro,Sigstam,16192
Development,Krassimir,Olano,16201
Production,Hitomi,Vural,16227
Customer Service,Ronnie,Lanzelotte,16229
Production,Ung,Babu,16230
Customer Service,Ung,Babu,16230
Sales,Sushant,Baba,16233
Customer Service,Jacopo,Basart,16234
Production,Makato,Masaki,16246
Production,Carrsten,Mattern,16252
Sales,Mikhail,Sethi,16266
Development,Shuho,Zeleznik,16272
Research,Shuho,Zeleznik,16272
Finance,Sadun,Navazio,16274
Human Resources,Billie,Bazzichi,16324
Production,Hironoby,Schaad,16337
Research,Boutros,Fendler,16341
Sales,Nikolaos,Luca,16355
Sales,Yifei,Gini,16364
Research,Janalee,Mellouli,16365
Production,Duri,Stanger,16377
Customer Service,Zhilian,Chleq,16380
Production,Chaoyi,Talmon,16382
Production,Lidong,Czap,16383
Customer Service,Subhankar,Georgatos,16388
Finance,Shimshon,Cusworth,16397
Sales,Limsoon,Krzyzanowski,16398
Sales,Apostol,Collette,16399
Customer Service,Apostol,Collette,16399
Production,Rafols,Rabehasaina,16404
Production,Moss,Tokunaga,16412
Production,Idoia,Beerel,16425
Production,Abdulla,Demeyer,16438
Sales,Jouko,Chinin,16446
Production,Zhiguo,Savasere,16447
Development,Zhiguo,Savasere,16447
Development,Tsvetan,Zwicker,16448
Human Resources,Goncalo,Basart,16453
Research,Bogdan,Birta,16471
Finance,Jixiang,Eiter,16479
Research,Sanjay,Perin,16486
Sales,Arunas,Yemenis,16487
Sales,Muzhong,Thiria,16490
Customer Service,Emdad,Radwan,16491
Development,Mong,Cromarty,16504
Customer Service,Mototsugu,Vecchio,16510
Development,Weidon,Seiwald,16537
Production,Gretta,Fetvedt,16539
Development,Sangeeta,Lanphier,16546
